,Source,Month,Brand,Model,ENERGY LABEL EU,NOFROST SYSTEM,NET LTRS.,Quantity,PriceUSD,Elasticity,cluster_kmean_nd_9,cluster_kmean_t_sne,cluster_ier_centr_cos_7,cluster_ier_t_sne
0,Traditional Sales,2018-01-01,INDESIT,TIAA 14,3,0,245,782.6666666666666,231.12113986766664,-11.815988164088374,7,7,1,5
1,Traditional Sales,2018-01-01,WHIRLPOOL,BSNF 9121 OX,3,1,349,382.47499999999997,501.6335889071667,-0.31287252176737357,5,7,1,5
2,Traditional Sales,2018-01-01,LG,GA-B429SECZ,4,1,302,573.2125315235834,522.0338181716667,2.804368738538304,5,7,6,5
3,Traditional Sales,2018-01-01,SAMSUNG,RB37J5000SA/UA,3,1,367,857.76859712475,609.7105148295833,-0.5048158728858398,5,7,1,5
4,Traditional Sales,2018-01-01,SAMSUNG,RB37J5000EF/UA,3,1,367,441.4951668695833,610.1656903129167,0.45547181215691257,5,7,1,5
5,Traditional Sales,2018-01-01,INDESIT,LI7 S1 W,3,0,307,538.3333333333334,309.7459924131667,-4.170003331004921,7,7,1,5
6,Traditional Sales,2018-01-01,BOSCH,KGN39VL306,4,1,366,558.7843384392501,562.9435876571666,0.033115401766474095,5,7,1,5
7,Traditional Sales,2018-01-01,SAMSUNG,RB33J3000SA,3,1,328,532.8208333333333,536.6065962111667,-2.767178115447213,5,7,1,5
8,Traditional Sales,2018-01-01,LG,GA-B429SEQZ,4,1,302,581.8521909755833,543.34045198,-1.4231142022100745,5,7,1,5
9,Traditional Sales,2018-01-01,ELENBERG,MRF-145,3,0,130,202.91674242424997,150.96294326408335,-0.3749226769859364,9,2,7,2
10,Traditional Sales,2018-01-01,INDESIT,LI6 S1 W,3,0,271,280.1666666666667,285.6512679568333,-1.906452131335739,7,2,1,3
11,Traditional Sales,2018-01-01,DELFA,BCD-138,3,0,138,241.74277777783337,155.73858683433332,3.7727022787142253,6,2,6,2
12,Traditional Sales,2018-01-01,SAMSUNG,RB37J5220SA,3,1,367,297.6666666666667,637.9625131348333,-0.7487854432913696,5,7,1,5
13,Traditional Sales,2018-01-01,LG,GA-B 389 SMQZ,4,1,261,218.17447632908332,492.71790913391675,0.8253590044418173,6,7,6,5
15,Traditional Sales,2018-01-01,WHIRLPOOL,BSNF 8121 W,3,1,316,207.99305555558337,453.44149096558334,-0.25111066880849087,3,7,1,5
16,Traditional Sales,2018-01-01,LG,GA-B429SMQZ,4,1,302,309.7383020866667,550.39704318475,1.8832138942017838,6,7,6,5
17,Traditional Sales,2018-01-01,ATLANT,XM-6025 100,3,0,384,224.42739231583334,376.44390370841666,2.6353963755333205,6,7,6,5
18,Traditional Sales,2018-01-01,ELENBERG,MRF-220,3,0,205,217.5,163.81146188258333,3.8579162225405113,6,2,6,3
19,Traditional Sales,2018-01-01,LG,GA-B429SMCZ,4,1,302,261.8170424575,521.2896966620833,-1.165967761956626,2,7,1,5
20,Traditional Sales,2018-01-01,WHIRLPOOL,BSNF 8121 OX,3,1,319,54.525,477.79778755983335,-0.37790387863241603,3,5,3,7
21,Traditional Sales,2018-01-01,SAMSUNG,RB30J3000SA,3,1,311,58.58888888891667,460.80644300750004,2.8765037537221874,6,5,6,7
22,Traditional Sales,2018-01-01,INDESIT,DF 4181 X,3,1,298,312.9166666666667,413.12239847225004,0.586153659022479,6,7,1,5
23,Traditional Sales,2018-01-01,ATLANT,MXM-2835-95,3,0,272,260.9877758455,261.4478227484166,3.485003917770562,6,2,6,3
24,Traditional Sales,2018-01-01,SAMSUNG,RB29FSRNDSA/UA,3,1,290,207.49726973025,474.2484899515833,1.415130542139773,6,7,6,5
25,Traditional Sales,2018-01-01,INDESIT,LI9 S1Q X,3,0,369,298.1666666666667,391.45997442491665,-2.384390316953927,7,7,1,5
26,Traditional Sales,2018-01-01,ATLANT,XM-6325-101,3,0,349,142.55833333333334,380.0713891203334,0.9634379006629974,6,4,6,1
27,Traditional Sales,2018-01-01,INDESIT,LI8 S1 X,3,0,303,121.58333333333333,343.81962579291667,-0.13785868344564117,4,4,7,1
28,Traditional Sales,2018-01-01,BEKO,RCSK335M20W,3,0,331,118.0,310.78898767925,-0.5363677702014595,4,4,7,1
29,Traditional Sales,2018-01-01,DELFA,DBFH-170,3,0,240,169.25444444441666,223.67765435191666,-1.5515484258637668,9,2,7,3
30,Traditional Sales,2018-01-01,INDESIT,LI9 S1Q W,3,0,369,238.41666666666666,354.2155186039167,-0.20888020288065579,4,7,7,5
31,Traditional Sales,2018-01-01,WHIRLPOOL,BSNF 9121 W,3,1,349,166.82083333333333,476.7400781828333,0.6910267268441357,3,7,6,5
32,Traditional Sales,2018-01-01,ELENBERG,MRF-221-O,3,0,205,111.02870013291668,166.29778484866665,-1.0070249881604556,9,2,7,3
33,Traditional Sales,2018-01-01,SAMSUNG,RB37J5340SL,3,1,367,150.5,678.5833395240834,-0.5252926944736266,3,7,1,5
34,Traditional Sales,2018-01-01,BOSCH,KGN39VW306,4,1,366,242.72479698075003,573.7816890836666,-1.7505116449253706,2,7,1,5
35,Traditional Sales,2018-01-01,DELFA,DMF-83,3,0,90,297.3958333333333,121.70921697624999,-2.6701983056580243,7,2,7,2
36,Traditional Sales,2018-01-01,BEKO,RCNK310E20S,3,1,276,70.345,364.54349756709996,0.5634876055473156,3,3,3,9
37,Traditional Sales,2018-01-01,ZANUSSI,ZRB36102WA,3,0,332,85.96666666666665,309.8789383455833,-0.40274163635013066,4,4,7,1
38,Traditional Sales,2018-01-01,DELFA,DTFH-140,3,0,212,293.49944444441667,172.473680676,0.01870640557887926,6,2,7,3
39,Traditional Sales,2018-01-01,ELENBERG,MRF-206,3,0,194,141.58333333333334,202.50755465199998,-0.99255243445082,9,2,7,3
40,Traditional Sales,2018-01-01,SAMSUNG,RB33J3000EF/UA,3,1,328,130.5,526.1154609782501,-0.7767959647093037,3,7,1,5
41,Traditional Sales,2018-01-01,SAMSUNG,RB 37 J 5220 EF,3,1,367,211.33333333333334,633.3209030640834,-1.3132080318634238,3,7,1,5
42,Traditional Sales,2018-01-01,INDESIT,LI8 S1 W,3,0,339,105.5,342.62860433508337,-0.05350201207811878,4,4,7,1
43,Traditional Sales,2018-01-01,ATLANT,XM 4012-100,3,0,320,149.8300760345,305.3660989895834,1.2791370710758343,6,4,6,1
44,Traditional Sales,2018-01-01,ATLANT,XM 4023-100,3,0,340,123.3,322.1692878631667,-0.9821016049470582,4,4,7,1
45,Traditional Sales,2018-01-01,SAMSUNG,RB29FSRNDSA,3,1,290,57.95,480.6392535199,2.7391632281851903,6,5,6,7
46,Traditional Sales,2018-01-01,WHIRLPOOL,BSNF9151OX,3,1,346,46.66674242425,551.3627042953334,0.3788871962845768,3,5,3,7
47,Traditional Sales,2018-01-01,ATLANT,XM 4712-100,3,0,288,146.41666666666666,306.62310401891665,1.8778823331192391,6,4,6,1
48,Traditional Sales,2018-01-01,INDESIT,NBS 18 AA,3,0,318,50.024404761916664,281.775702669,-1.1981668609399985,4,4,7,1
49,Traditional Sales,2018-01-01,BEKO,RDSA240K20S,3,0,223,102.25,242.70386492716668,0.37813643103095224,9,2,7,3
50,Traditional Sales,2018-01-01,SAMSUNG,RB31FSRNDSA/UA,3,1,310,148.0199032628333,533.3036732458332,2.0314139506140068,6,7,6,5
51,Traditional Sales,2018-01-01,ZANUSSI,ZRT23100WA,3,0,223,88.6875,232.32717913558335,0.6692048886809995,9,2,7,3
52,Traditional Sales,2018-01-01,INDESIT,LI8 FF2 W,4,1,301,92.0,394.31349415641665,0.9881663609486138,2,3,4,9
53,Traditional Sales,2018-01-01,ATLANT,MXM-2808-95,3,0,255,208.15277777775,256.7863247328333,5.517988612534032,6,2,6,3
54,Traditional Sales,2018-01-01,SAMSUNG,RB31FSRNDEF,3,1,310,159.11610012183337,522.8224479055833,1.3806842594204525,6,7,6,5
55,Traditional Sales,2018-01-01,VESTFROST,CNF 186 ZW,3,1,324,193.33333333333334,375.66921534425,-2.1751834925455062,3,4,1,9
56,Traditional Sales,2018-01-01,INDESIT,LR6 S1 W,3,0,271,102.66190476191666,289.0129074678333,-0.6385844050398424,4,4,7,1
57,Traditional Sales,2018-01-01,LG,GA-B499YLUZ,4,1,360,246.55365462300003,609.4541500214167,-4.422547135956992,7,7,1,5
58,Traditional Sales,2018-01-01,LG,GA-B429SQCZ,4,1,302,123.91676878641665,522.9391242115832,2.056105790671241,6,7,4,5
59,Traditional Sales,2018-01-01,WHIRLPOOL,BSNF9152W,4,1,346,103.66666666666667,518.5753678073334,0.38380467884216596,2,7,4,5
60,Traditional Sales,2018-01-01,SNAIGE,RF 35 SM-S10021,3,0,310,124.42339724150001,328.90415776158335,-0.21377021381129424,4,4,7,1
61,Traditional Sales,2018-01-01,CANDY,CCBS 6182W,3,0,300,31.631999999999998,290.44351983969995,-1.020820808379544,4,3,7,9
62,Traditional Sales,2018-01-01,CANDY,CCTOS 502 WH,3,0,97,174.6583333333333,156.4491824365,-2.74244263548779,7,2,7,2
63,Traditional Sales,2018-01-01,WHIRLPOOL,BSNF 9432 K,4,1,349,94.75,568.0531598206667,0.2797122854258657,2,7,4,5
64,Traditional Sales,2018-01-01,SNAIGE,RF36SM-S10021,3,0,321,83.00691204633334,315.99265512908335,0.6709616628557225,4,4,7,1
65,Traditional Sales,2018-01-01,INDESIT,NTS 14 AA,3,0,245,119.46582736825,222.06598296375,-0.9286923623979244,4,2,7,3
66,Traditional Sales,2018-01-01,ELENBERG,MRF 207-O,3,0,197,105.26652053366668,203.45966220741664,0.19548141879526837,9,2,7,3
67,Traditional Sales,2018-01-01,ZANUSSI,ZRT23102WA,3,0,223,39.054545454545455,236.28747592318177,0.5240513266885543,9,4,7,3
68,Traditional Sales,2018-01-01,LG,GN-H702HEHZ,4,1,506,76.23567282691667,768.098690544,-0.3010675291662359,2,6,4,4
69,Traditional Sales,2018-01-01,ATLANT,MXM 2826-95,3,0,293,43.23761111108334,269.07117551983333,-2.345111123027075,4,4,7,1
70,Traditional Sales,2018-01-01,SAMSUNG,RT46K6340S8/UA,3,1,453,90.83333333333333,761.5433146324166,-0.5169884918278731,8,6,2,4
71,Traditional Sales,2018-01-01,ELENBERG,MR 51-O,3,0,47,116.79466971908334,93.19137648066668,0.907586132661982,9,2,7,2
72,Traditional Sales,2018-01-01,ATLANT,XM 4725-101,3,0,349,106.99166666666666,341.0948344555,0.05058897229864168,4,4,7,1
73,Traditional Sales,2018-01-01,VESTFROST,CMR 085 W,3,0,88,128.61111111108332,142.77522263725,3.5171507844500263,6,2,7,2
74,Traditional Sales,2018-01-01,VESTFROST,RF 383 EX,3,1,360,41.0,441.9026432412999,0.4210101625255296,3,3,3,10
75,Traditional Sales,2018-01-01,BOSCH,KGN49XL30G,4,1,435,64.08333333333333,805.3530399970833,0.4627849457580789,2,6,4,4
76,Traditional Sales,2018-01-01,INDESIT,LI80 FF2 W,4,1,301,20.583333333333332,410.57358261400003,-0.5030894768649097,2,8,4,8
77,Traditional Sales,2018-01-01,SAMSUNG,RT46K6340EF/UA,3,1,468,97.66482128033333,751.1688106283333,-0.5955457751914278,8,6,2,4
78,Traditional Sales,2018-01-01,ATLANT,XM-6021-100,3,0,321,55.0389646465,346.71617777483334,-0.44732542319448365,4,3,7,9
79,Traditional Sales,2018-01-01,SNAIGE,FR240-1101AA,3,0,212,70.567590368,231.44504840341665,0.8550180420271287,9,2,7,3
80,Traditional Sales,2018-01-01,GORENJE,RK6191BW,3,0,324,53.166666666666664,365.62639068058337,0.4680743415105484,4,3,7,9
81,Traditional Sales,2018-01-01,ELENBERG,MRF 146-O,3,0,163,118.37908818883334,153.40187085150004,1.1144203426504515,9,2,7,3
82,Traditional Sales,2018-01-01,WHIRLPOOL,BLF 9121 OX,3,0,369,77.31218983791666,395.44829541075,-0.352736674408605,4,3,7,10
83,Traditional Sales,2018-01-01,CANDY,CCDS 5142W,3,0,204,76.02813031408333,210.42170861083332,0.49480515696675204,9,2,7,3
84,Traditional Sales,2018-01-01,BOSCH,KGN36VL306,4,1,324,111.86250000000001,514.6427213776668,0.05577906132876537,2,7,4,5
85,Traditional Sales,2018-01-01,ATLANT,XM 6023-100,3,0,359,122.86033455383334,353.68751442716666,1.0118106485922533,4,4,6,1
