,UAH/USD
2018-01-02,28.067223
2018-01-03,28.067223
2018-01-04,27.89054
2018-01-05,28.013366
2018-01-06,28.013366
2018-01-07,28.013366
2018-01-08,28.013366
2018-01-09,28.203329
2018-01-10,28.203243999999998
2018-01-11,28.328813
2018-01-12,28.445711000000003
2018-01-13,28.445711000000003
2018-01-14,28.445711000000003
2018-01-15,28.536637
2018-01-16,28.567664
2018-01-17,28.652576
2018-01-18,28.666131999999998
2018-01-19,28.777485000000002
2018-01-20,28.777485000000002
2018-01-21,28.777485000000002
2018-01-22,28.844816
2018-01-23,28.875837
2018-01-24,28.864823
2018-01-25,28.865367000000003
2018-01-26,28.745248
2018-01-27,28.745248
2018-01-28,28.745248
2018-01-29,28.548638
2018-01-30,28.246515
2018-01-31,28.008791000000002
2018-02-01,27.843493
2018-02-02,27.869462
2018-02-03,27.869462
2018-02-04,27.869462
2018-02-05,27.887139
2018-02-06,27.742448
2018-02-07,27.460866
2018-02-08,27.119635
2018-02-09,27.124023
2018-02-10,27.124023
2018-02-11,27.124023
2018-02-12,27.058546
2018-02-13,26.840367
2018-02-14,26.699479999999998
2018-02-15,26.654762
2018-02-16,26.759805
2018-02-17,26.759805
2018-02-18,26.759805
2018-02-19,26.990889000000003
2018-02-20,27.011922
2018-02-21,27.072945
2018-02-22,26.988039
2018-02-23,27.071842999999998
2018-02-24,27.071842999999998
2018-02-25,27.071842999999998
2018-02-26,26.988658
2018-02-27,27.006610000000002
2018-02-28,26.948185
2018-03-01,26.805515999999997
2018-03-02,26.669496
2018-03-03,26.535904000000002
2018-03-04,26.535904000000002
2018-03-05,26.535904000000002
2018-03-06,26.48208
2018-03-07,26.348957
2018-03-08,26.348957
2018-03-09,26.348957
2018-03-10,26.348957
2018-03-11,26.348957
2018-03-12,26.093953000000003
2018-03-13,25.924612000000003
2018-03-14,25.915886999999998
2018-03-15,26.013978
2018-03-16,26.272654000000003
2018-03-17,26.272654000000003
2018-03-18,26.272654000000003
2018-03-19,26.35391
2018-03-20,26.436044000000003
2018-03-21,26.301118000000002
2018-03-22,26.280974
2018-03-23,26.253649
2018-03-24,26.253649
2018-03-25,26.253649
2018-03-26,26.265477999999998
2018-03-27,26.304389999999998
2018-03-28,26.306269999999998
2018-03-29,26.405248999999998
2018-03-30,26.543492999999998
2018-03-31,26.543492999999998
2018-04-01,26.543492999999998
2018-04-02,26.307046
2018-04-03,26.16096
2018-04-04,26.329568
2018-04-05,26.263057
2018-04-06,26.066536999999997
2018-04-07,26.066536999999997
